"Hierarchy","Chart","Block","Block comment","Create block icon","Block icon","OCM possible","Readback allowed","Block group","Block type",
"SYSTEM\CPU21 Diagnosis\","Time_CPU21","1","REAL-Addition","1","","0","1","","ADD_R",
"SYSTEM\CPU21 Diagnosis\","Time_CPU21","10","","1","","0","1","","I_R",
"SYSTEM\CPU21 Diagnosis\","Time_CPU21","4","","1","","0","1","","I_R",
"SYSTEM\CPU21 Diagnosis\","Time_CPU21","5","","1","","0","1","","I_R",
"SYSTEM\CPU21 Diagnosis\","Time_CPU21","6","","1","","0","1","","I_R",
"SYSTEM\CPU21 Diagnosis\","Time_CPU21","7","","1","","0","1","","I_R",
"SYSTEM\CPU21 Diagnosis\","Time_CPU21","8","","1","","0","1","","I_R",
"SYSTEM\CPU21 Diagnosis\","Time_CPU21","9","","1","","0","1","","I_R",
"SYSTEM\CPU21 Diagnosis\","Time_CPU21","CMP_BASE_HOUR","REAL-Addition","1","","0","1","","ADD_R",
"SYSTEM\CPU21 Diagnosis\","Time_CPU21","PLC_TIME","PLC System Time","0","","1","1","","VP_WR_R",
"SYSTEM\CPU21 Diagnosis\","Time_CPU21","READ_TIME","CPU Time and date","1","","0","1","","VP_TIMEDATE",
"SYSTEM\CPU21 Diagnosis\","Time_CPU21","minutes","REAL-Multiplier","1","","0","1","","MUL_R",
"SYSTEM\CPU21 Diagnosis\","Time_CPU21","seconds","REAL-Multiplier","1","","0","1","","MUL_R",
"MASTER REEL\Reel pulper\","TempConnections","2","bool to bool                         ","1","","0","1","","VP_DUMMY_16BO",
"MASTER REEL\Reel pulper\","TempConnections","FP01K01HSM10_M02","","1","","0","1","","AND",
"SYSTEM\CPU21 Diagnosis\","system_CPU21","OB121","programming error OB","1","","0","1","","ADD_R",
"SYSTEM\CPU21 Diagnosis\","system_CPU21","OB122","I/O access error OB","1","","0","1","","ADD_R",
"SYSTEM\CPU21 Diagnosis\","system_CPU21","OB40","I/O access error OB","1","","0","1","","ADD_R",
"SYSTEM\CPU21 Diagnosis\","system_CPU21","OB80","time error OB","1","","0","1","","ADD_R",
"SYSTEM\CPU21 Diagnosis\","system_CPU21","OB81","power supply error OB","1","","0","1","","ADD_R",
"SYSTEM\CPU21 Diagnosis\","system_CPU21","OB82","diagnostic interrupt OB","1","","0","1","","ADD_R",
"SYSTEM\CPU21 Diagnosis\","system_CPU21","OB83","insert / remove module interrupt OB","1","","0","1","","ADD_R",
"SYSTEM\CPU21 Diagnosis\","system_CPU21","OB84","CPU hardware fault OB","1","","0","1","","ADD_R",
"SYSTEM\CPU21 Diagnosis\","system_CPU21","OB85","priority class error OB","1","","0","1","","ADD_R",
"SYSTEM\CPU21 Diagnosis\","system_CPU21","OB86","rack failure OB","1","","0","1","","ADD_R",
"SYSTEM\CPU21 Diagnosis\","system_CPU21","OB88","processing interrupt OB","1","","0","1","","ADD_R",
"SYSTEM\CPU21 Diagnosis\","system_CPU21","TIMEDIFF","time difference local time / GMT [min]","1","","1","1","","VP_OP_ANA",
"SYSTEM\CPU21 Diagnosis\","system_CPU21","sys_init","init - newstart, cycletime, 1 sec-pulse","1","","1","1","","sys_init",
"MASTER REEL\Production\","Product_Adjust","WR_BO","21- production adjustment","1","","1","1","","VP_WR_BO",
"MASTER REEL\Production\","Product_Adjust","WR_R_01","21- production adjustment","1","","1","1","","VP_WR_R",
"MASTER REEL\Production\","Product_Adjust","WR_R_02","21- production adjustment","1","","1","1","","VP_WR_R",
"MASTER REEL\Primary area\","M1QZ42LK01K05","M331","command blow air on","1","","0","1","","Or04",
"MASTER REEL\Primary area\","M1QZ42LK01K05","MSG","21- rope nip blow pipe air valve","1","WCC_Stat","1","1","","VP_MSG",
"MASTER REEL\Primary area\","M1QZ42LK01K05","OP_TRIG_01","21- acknowledge","1","","1","1","","OP_TRIG",
"MASTER REEL\Primary area\","M1QZ42LK01K05","OR_0101","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Primary area\","M1QZ42LK01K05","Q01","Digital Output","1","","0","1","","CH_DO",
"MASTER REEL\Primary area\","M1QZ42LK01K05","RS_0101","RS Flipflop, Reset forced","1","","0","1","","VP_RS_FF",
"MASTER REEL\Primary area\","M1QZ42LK01K05","TP_0101","monoflop, On/Off-delay","1","","0","1","","VP_TIMER",
"MASTER REEL\Primary area\","M1QZ42LK01K05","WR_BO","21- rope nip blow pipe blow air valve","1","","1","1","","VP_WR_BO",
"MASTER REEL\Primary area\","M1QZ41LK08K31","001-M01","command operation","1","","0","1","","And04",
"MASTER REEL\Primary area\","M1QZ41LK08K31","AND_0011","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Primary area\","M1QZ41LK08K31","AND_0012","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Primary area\","M1QZ41LK08K31","CHN_FAULT","Logical OR with 8 inputs","1","","0","1","","Or08",
"MASTER REEL\Primary area\","M1QZ41LK08K31","CHN_WARN","Logical OR with 8 inputs","1","","0","1","","Or08",
"MASTER REEL\Primary area\","M1QZ41LK08K31","MSG","21- rope system extraction device","1","WCC_Stat","1","1","","VP_MSG",
"MASTER REEL\Primary area\","M1QZ41LK08K31","OP_TRIG_01","21- acknowledge","1","","1","1","","OP_TRIG",
"MASTER REEL\Primary area\","M1QZ41LK08K31","S01_1_I01","Digital Input","1","","0","1","","CH_DI",
"MASTER REEL\Primary area\","M1QZ41LK08K31","S01_2_I01","Digital Input","1","","0","1","","CH_DI",
"MASTER REEL\Primary area\","M1QZ41LK08K31","Y01_12_Q01","Digital Output","1","","0","1","","CH_DO",
"MASTER REEL\Primary area\","M1QZ41LK08K31","Y01_14_Q01","Digital Output","1","","0","1","","CH_DO",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","AND_0101","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","AND_0111","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","AND_0112","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","CHN_DO_FAULT","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","CHN_DO_WARN","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","CHN_FAULT","Logical OR with 8 inputs","1","","0","1","","Or08",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","CHN_WARN","Logical OR with 8 inputs","1","","0","1","","Or08",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","CMP_0111","Compare with tolerance and hysteresis","1","","0","1","","VP_DEV",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","D03","relaease turn up","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","I01","Digital Input","1","","0","1","","CH_DI",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","I02","Digital Input","1","","0","1","","CH_DI",
